,word,lang
448,zozo,eu
449,zelofan,eu
450,uste,eu
451,estugarri,eu
452,abegikor,eu
453,argitu,eu
454,eguerdi,eu
455,nazionalitate,eu
456,arraun,eu
457,zuzendu,eu
458,errepresio,eu
459,berezkotasun,eu
460,lotsatu,eu
461,desplazamendu,eu
462,jainkotasun,eu
463,dinamika,eu
464,leinu,eu
465,azelerazio,eu
466,nerabezaro,eu
467,hipotesi,eu
468,estasi,eu
469,espezialitate,eu
470,ferula,eu
471,transferentzia,eu
472,ukuilu,eu
473,salda,eu
474,kiropraktore,eu
475,kortse,eu
476,hegal,eu
477,lazo,eu
478,nukleo,eu
479,filantropo,eu
480,nahastezin,eu
481,berniz,eu
482,eufemismo,eu
483,maitasunez,eu
484,zainketa,eu
485,eskultore,eu
486,sinplifikatu,eu
487,siesta,eu
488,ikusle,eu
489,toxina,eu
490,hamabigarren,eu
491,bono,eu
492,diktadura,eu
493,damugarri,eu
494,babatu,eu
495,negararri,eu
496,elikadura,eu
497,segida,eu
498,zume,eu
499,asfalto,eu
500,autopista,eu
501,ehuen,eu
502,magnetismo,eu
503,aitatasun,eu
504,pabilioi,eu
505,berritze,eu
506,sofistikazio,eu
507,haserrekor,eu
508,aktibista,eu
509,koma,eu
510,perka,eu
511,kapitalismo,eu
512,eginbehar,eu
513,aska,eu
514,lagunkoi,eu
515,zuzengune,eu
516,garbiketa,eu
517,behartu,eu
518,detergente,eu
519,digestio,eu
520,dizipulu,eu
521,iraungitze,eu
522,fobia,eu
523,zurrusta,eu
524,inagurazio,eu
525,doilorra,eu
526,diagnostikatu,eu
527,diametro,eu
528,elastiko,eu
529,manifestazio,eu
530,ustekabe,eu
531,narratiba,eu
532,probokazio,eu
533,birsortze,eu
534,xantaiagile,eu
535,zentsura,eu
536,banandu,eu
537,haurtxo,eu
538,pasadizo,eu
539,hormapiko,eu
540,kimono,eu
541,aldarrikapen,eu
542,eskudiru,eu
543,haitzulo,eu
544,berretsi,eu
545,pinpirin,eu
546,ukitu,eu
547,espresuki,eu
548,ukondokada,eu
549,berreskuratze,eu
550,zehaztasunez,eu
551,monoxido,eu
552,bide,eu
553,sedazio,eu
554,kutsadura,eu
555,gurutze,eu
556,piraña,eu
557,pentsalari,eu
558,nekagarri,eu
559,makurtu,eu
560,ikasle,eu
561,debeku,eu
562,ikusgarritasun,eu
563,aguakate,eu
564,piku,eu
565,irla,eu
566,zartagin,eu
567,marruskadura,eu
568,biologo,eu
569,konposatu,eu
570,erorketa,eu
571,prest,eu
572,hondar,eu
573,seriotasun,eu
574,albaitari,eu
575,bizarduna,eu
576,enfasi,eu
577,barnean,eu
578,tranbia,eu
579,ehiztari,eu
580,agindu,eu
581,keroseno,eu
582,errefusa,eu
583,hirukote,eu
584,artxibo,eu
585,bira,eu
586,dialekto,eu
587,erresistentzia,eu
588,albainu,eu
589,gainbegiratu,eu
590,beix,eu
591,kontserbatorio,eu
592,ezeztatu,eu
593,toles,eu
594,jasangaitz,eu
595,nylon,eu
596,obalo,eu
597,festa,eu
598,ezkongai,eu
599,errolda,eu
600,milimetro,eu
601,prestigio,eu
602,apostolu,eu
603,atsekabetuta,eu
604,esplizitu,eu
605,bekain,eu
606,fikziozko,eu
607,tonalitate,eu
608,sailkapen,eu
609,ilustre,eu
610,antzerkigile,eu
611,ipurgain,eu
612,aingira,eu
613,txorrota,eu
614,txistu,eu
615,magnitude,eu
616,eskolatze,eu
617,eskuratze,eu
618,errito,eu
619,ekaiztsu,eu
620,baztanga,eu
621,janzkera,eu
622,iruzkina,eu
623,desagertze,eu
624,uhin,eu
625,biloba,eu
626,hotzikara,eu
627,desgaitu,eu
628,estaldura,eu
629,nabarmendu,eu
630,etorkin,eu
631,ispilatze,eu
632,tornado,eu
633,erabiltzaile,eu
634,banbu,eu
635,kronika,eu
636,ezkutaleku,eu
637,une,eu
638,zarpail,eu
639,erlaxazio,eu
640,aintzira,eu
641,teilatu,eu
642,neke,eu
643,garrantzi,eu
644,entxufe,eu
645,ordutegi,eu
646,tirania,eu
647,huron,eu
648,masta,eu
649,iragarri,eu
650,fanatiko,eu
651,meditazio,eu
652,mineral,eu
653,santutasun,eu
654,kazol,eu
655,detekzio,eu
656,loteria,eu
657,estimu,eu
658,ahul,eu
659,informal,eu
660,jargoi,eu
661,fabrikazio,eu
662,kriminal,eu
663,itsasgizon,eu
664,trazadura,eu
665,ozpin,eu
666,korazatu,eu
667,morrontza,eu
668,nabigazio,eu
669,loezin,eu
670,pelikano,eu
671,puntuazio,eu
672,sinus,eu
673,kaltzio,eu
674,aneta,eu
675,gorotz,eu
676,lilura,eu
677,argitalpen,eu
678,kaotiko,eu
679,egonkortasun,eu
680,aluzinazio,eu
681,kiribil,eu
682,koalizio,eu
683,iceberg,eu
684,trosta,eu
685,tortikoli,eu
686,lanuzte,eu
687,dekorazio,eu
688,amildegi,eu
689,erbeste,eu
690,algara,eu
691,karkasa,eu
692,konkista,eu
693,esplorazio,eu
694,sintoma,eu
695,trakzio,eu
696,konfrontazio,eu
697,dekretu,eu
698,letagin,eu
699,antza,eu
700,musa,eu
701,tirano,eu
702,garaikide,eu
703,mirari,eu
704,turbulentzia,eu
705,erridikulu,eu
706,taillaketa,eu
707,fideltasun,eu
708,ahanztura,eu
709,segmentu,eu
710,armategi,eu
711,kalamitate,eu
712,sehaska,eu
713,bakardade,eu
714,apartsu,eu
715,sindikatu,eu
716,zoramen,eu
717,mugitu,eu
718,soberakin,eu
719,kakalardo,eu
720,sineskeri,eu
721,harkaitz,eu
722,ergelkeri,eu
723,aurkibide,eu
724,moko,eu
725,komunismo,eu
726,katalogo,eu
727,diktadore,eu
728,muki,eu
729,grebalari,eu
730,laguntzaile,eu
731,polemiko,eu
732,gutizia,eu
733,ihintza,eu
734,hamster,eu
735,iskanbila,eu
736,uranio,eu
737,bisita,eu
738,larritasun,eu
739,eskura,eu
740,koadernaketa,eu
741,diskriminazio,eu
742,zutitze,eu
743,malenkonia,eu
744,limurtzaile,eu
745,derrapatze,eu
746,pubertaro,eu
747,erredentzio,eu
748,kliska,eu
749,diabetiko,eu
750,eroskeria,eu
751,ohatila,eu
752,ijito,eu
753,bakailao,eu
754,hoditeria,eu
755,zurtoin,eu
756,zoragarriki,eu
757,maitekor,eu
758,krokodilo,eu
759,jabetza,eu
760,kometa,eu
761,espekulazio,eu
762,kirats,eu
763,hiztegi,eu
764,kizkur,eu
765,artillero,eu
766,estimulatzaile,eu
767,desleial,eu
768,lehergailu,eu
769,linbo,eu
770,komun,eu
771,kalbario,eu
772,kanpotar,eu
773,kirrinka,eu
774,apaltasun,eu
775,iruzur,eu
776,injektatu,eu
777,platino,eu
778,bukaera,eu
779,apokalipsi,eu
780,harribitxi,eu
781,okupatu,eu
782,patente,eu
783,irudikapen,eu
784,ezkutatu,eu
785,aisialdi,eu
786,anana,eu
787,esmeralda,eu
788,jaitsiera,eu
789,titular,eu
790,berotu,eu
791,helduleku,eu
792,gogaitu,eu
793,gidoi,eu
794,galtzerdiak,eu
795,ezkontza,eu
796,modulu,eu
797,garrasi,eu
798,talka,eu
799,zornatu,eu
800,kartoi,eu
801,eraginkortasun,eu
802,elektronika,eu
803,imitazio,eu
804,patinete,eu
805,sermoi,eu
806,oinaze,eu
807,akuario,eu
808,monopolio,eu
809,errebolber,eu
810,atalase,eu
811,abiadura,eu
812,salaketa,eu
813,susmagarri,eu
814,ezagutza,eu
815,belardi,eu
816,kilker,eu
817,bastoi,eu
818,irrika,eu
819,gainera,eu
820,aktak,eu
821,pinguino,eu
822,kaktus,eu
823,ohituta,eu
824,kanario,eu
825,liho,eu
826,bilgune,eu
827,zehaztasun,eu
828,malda,eu
829,teleskopio,eu
830,hargailu,eu
831,belo,eu
832,gutxiago,eu
833,baketsu,eu
834,armadilo,eu
835,andregai,eu
836,kritika,eu
837,ameslari,eu
838,oposizio,eu
839,zuntz,eu
840,dirdira,eu
841,hipokrita,eu
842,bele,eu
843,erreinu,eu
844,trantsizio,eu
845,ebanjelio,eu
846,erretxin,eu
847,tailugile,eu
848,sirena,eu
849,salatari,eu
850,herentzia,eu
851,negar,eu
852,sorta,eu
853,agur,eu
854,traba,eu
855,hozkada,eu
856,betegarri,eu
857,mofeta,eu
858,muga,eu
859,politikari,eu
860,gorrimin,eu
861,telegrafo,eu
862,kare,eu
863,belatz,eu
864,suposizio,eu
865,kobra,eu
866,itzulera,eu
867,komentu,eu
868,meritu,eu
869,baikor,eu
870,hasperen,eu
871,aran,eu
872,esmokin,eu
873,umetoki,eu
874,lorpen,eu
875,kaiman,eu
876,ekuazio,eu
877,zenbaketa,eu
878,musutxo,eu
879,aparta,eu
880,konboi,eu
881,seinale,eu
882,kanoa,eu
883,tiradera,eu
884,inprimatze,eu
885,lasagna,eu
886,baimen,eu
887,erreforma,eu
888,zirkulazio,eu
889,biolin,eu
890,historiko,eu
891,jakintsu,eu
892,kontinente,eu
893,diskrezio,eu
894,makineria,eu
895,bikini,eu
896,katedral,eu
897,udazken,eu
898,arerio,eu
899,zundaketa,eu
900,estaltze,eu
901,baldintzapen,eu
902,gabarra,eu
903,esperimental,eu
904,burrunba,eu
905,txirla,eu
906,zerbitzari,eu
907,fusio,eu
908,apustu,eu
909,trebetasun,eu
910,independentzia,eu
911,erreaktore,eu
912,kategoria,eu
913,elkarrizketa,eu
914,adinekoak,eu
915,birtualki,eu
916,berriketa,eu
917,lanbide,eu
918,salbamendu,eu
919,puska,eu
920,ibilaldi,eu
921,postontzi,eu
922,dotorea,eu
923,espontaneo,eu
924,mihise,eu
925,tipula,eu
926,tentazio,eu
927,jariakor,eu
928,meloi,eu
929,eskudel,eu
930,bildumagile,eu
931,antidoto,eu
932,txatarra,eu
933,txalet,eu
934,izerditsu,eu
935,ikasgela,eu
936,jatorri,eu
937,putz,eu
938,inkesta,eu
939,dukesa,eu
940,ilusio,eu
941,kontabilitate,eu
942,forru,eu
943,lauso,eu
944,ezagutze,eu
945,hiritar,eu
946,akademiko,eu
947,umiliazio,eu
948,ordezko,eu
949,itun,eu
950,aurkari,eu
951,txalo,eu
952,lagin,eu
953,bankari,eu
954,erratz,eu
955,ehun,eu
956,artifizial,eu
957,iturgintza,eu
958,kontsulatu,eu
959,edizio,eu
960,tontor,eu
961,toxiko,eu
962,ikaragarri,eu
963,bibote,eu
964,erromero,eu
965,pare,eu
966,zaharberritu,eu
967,korrikalari,eu
968,ikusgai,eu
969,interferentzia,eu
970,justifikatu,eu
971,salbazio,eu
972,uko egin,eu
973,mekanikari,eu
974,zinta,eu
975,hauskor,eu
976,agente,eu
977,hari,eu
978,globo,eu
979,oinordeko,eu
980,testu,eu
981,ukapen,eu
982,dosi,eu
983,biradera,eu
984,lurjabe,eu
985,profeta,eu
986,ferry,eu
987,lema,eu
988,azal,eu
989,tango,eu
990,irteera,eu
991,etsipen,eu
992,hirurogei,eu
993,arkulari,eu
994,aitabitxi,eu
995,bizargin,eu
996,urtxintxa,eu
997,balsa,eu
998,zaunka,eu
999,zentzudun,eu
1000,konstituzio,eu
1001,lizunkeria,eu
1002,lehendakaritza,eu
1003,zabor,eu
1004,errepublika,eu
1005,egokitu,eu
1006,espedizio,eu
1007,hilgarri,eu
1008,apo,eu
1009,atezain,eu
1010,diskoteka,eu
1011,danbateko,eu
1012,batailoi,eu
1013,sofa,eu
1014,apal,eu
1015,oihu,eu
1016,biluzi,eu
1017,organoak,eu
1018,uso,eu
1019,tomate,eu
1020,kolonia,eu
1021,furunkulu,eu
1022,egunsenti,eu
1023,isolatuta,eu
1024,bainuontzi,eu
1025,ikertzaile,eu
1026,ukondo,eu
1027,plataforma,eu
1028,aplikatu,eu
1029,orban,eu
1030,hauste,eu
1031,arakatu,eu
1032,litera,eu
1033,argiztapen,eu
1034,putzu,eu
1035,mertxika,eu
1036,lurrikara,eu
1037,sendaketa,eu
1038,psikotiko,eu
1039,torpedo,eu
1040,inozo,eu
1041,bahitu,eu
1042,errugabetasun,eu
1043,maiztasun,eu
1044,bakeroak,eu
1045,doinu,eu
1046,elementu,eu
1047,jauzi,eu
1048,belaki,eu
1049,betebehar,eu
1050,antsietate,eu
1051,erakarpen,eu
1052,katilu,eu
1053,mezu,eu
1054,etiketatu,eu
1055,mito,eu
1056,errekurtso,eu
1057,koipe,eu
1058,mando,eu
1059,medium,eu
1060,inauteriak,eu
1061,nahaste,eu
1062,zalaparta,eu
1063,masailezur,eu
1064,jende,eu
1065,sari,eu
1066,erakustaldi,eu
1067,fiskala,eu
1068,pelotoi,eu
1069,bilketa,eu
1070,buruhausgarri,eu
1071,pirata,eu
1072,norabide,eu
1073,altuerak,eu
1074,aingura,eu
1075,pasillo,eu
1076,erraketa,eu
1077,larreratu,eu
1078,mugikor,eu
1079,bonbardaketa,eu
1080,genetiko,eu
1081,itota,eu
1082,ardatz,eu
1083,esamesak,eu
1084,lurzoru,eu
1085,eskumuturreko,eu
1086,lagundu,eu
1087,xuxurla,eu
1088,martini,eu
1089,delikatu,eu
1090,atun,eu
1091,defentsa,eu
1092,identifikazio,eu
1093,enpresa,eu
1094,kuleroak,eu
1095,minimo,eu
1096,arroila,eu
1097,kongresu,eu
1098,kapa,eu
1099,bertako,eu
1100,etorrera,eu
1101,emozio,eu
1102,sinpatia,eu
1103,adoptatu,eu
1104,laser,eu
1105,inbasio,eu
1106,erakusketa,eu
1107,sinbolo,eu
1108,konfigurazio,eu
1109,gripe,eu
1110,infekzio,eu
1111,gizadi,eu
1112,protesta,eu
1113,erreka,eu
1114,erritual,eu
1115,zingira,eu
1116,zama,eu
1117,ondorio,eu
1118,argazkilari,eu
1119,gris,eu
1120,aztarna,eu
1121,anbar,eu
1122,altuera,eu
1123,terapeuta,eu
1124,oztopatu,eu
1125,hilkor,eu
1126,heldualdi,eu
1127,giltzurrun,eu
1128,bedeinkapen,eu
1129,kai,eu
1130,inbertsio,eu
1131,dramatiko,eu
1132,zeta,eu
1133,hozkailu,eu
1134,arkatz,eu
1135,konstante,eu
1136,aholkulari,eu
1137,azido,eu
1138,bikaintasun,eu
1139,aurrekontu,eu
1140,pistola,eu
1141,gorpu,eu
1142,vodka,eu
1143,kexa,eu
1144,adreilu,eu
1145,zauri,eu
1146,albuma,eu
1147,iragarki,eu
1148,ilunabar,eu
1149,lekuak,eu
1150,eskumutur,eu
1151,narratzaile,eu
1152,irakatsi,eu
1153,erro,eu
1154,neurri,eu
1155,txerriki,eu
1156,exekutibo,eu
1157,arkume,eu
1158,azti,eu
1159,paranoiko,eu
1160,metro,eu
1161,platano,eu
1162,konpromiso,eu
1163,gordailu,eu
1164,seigarren,eu
1165,laguntza,eu
1166,epai,eu
1167,zutabe,eu
1168,estalgune,eu
1169,portu,eu
1170,analisi,eu
1171,enpanada,eu
1172,funtzio,eu
1173,kabi,eu
1174,ekipaje,eu
1175,bota,eu
1176,garraio,eu
1177,esatari,eu
1178,balea,eu
1179,praktiko,eu
1180,sumindu,eu
1181,ustez,eu
1182,elefante,eu
1183,genio,eu
1184,antzerki,eu
1185,lurrindu,eu
1186,aktibo,eu
1187,elektrizitate,eu
1188,arrano,eu
1189,era,eu
1190,langile,eu
1191,leialtasun,eu
1192,zati,eu
1193,erpuru,eu
1194,argaldu,eu
1195,errubi,eu
1196,oinarri,eu
1197,esteka,eu
1198,psikiatra,eu
1199,erretiratuak,eu
1200,alargun,eu
1201,belaunaldi,eu
1202,sarrera,eu
1203,azentu,eu
1204,sinadura,eu
1205,iradokizun,eu
1206,garapen,eu
1207,pasarte,eu
1208,more,eu
1209,jaurtialdi,eu
1210,akademia,eu
1211,trenbide,eu
1212,entsegu,eu
1213,mailu,eu
1214,bingo,eu
1215,entretenimendu,eu
1216,tipiko,eu
1217,deskribapen,eu
1218,inperio,eu
1219,soka,eu
1220,atondo,eu
1221,portaera,eu
1222,akituta,eu
1223,egoki,eu
1224,desfilatu,eu
1225,aho,eu
1226,apoplexia,eu
1227,zartailu,eu
1228,arrazoi,eu
1229,trumoi,eu
1230,maleta,eu
1231,azterketa,eu
1232,ardi,eu
1233,margarita,eu
1234,gihar,eu
1235,dama,eu
1236,barre,eu
1237,jertse,eu
1238,transkripzio,eu
1239,kontzientzia,eu
1240,ilehori,eu
1241,kultura,eu
1242,marko,eu
1243,zor,eu
1244,aukera,eu
1245,zerga,eu
1246,lurralde,eu
1247,eskolta,eu
1248,egoera,eu
1249,produktu,eu
1250,testigantza,eu
1251,eragin,eu
1252,ezezagun,eu
1253,xaboi,eu
1254,igurtzi,eu
1255,xarma,eu
1256,saltsa,eu
1257,diputatu,eu
1258,satelite,eu
1259,otoitz,eu
1260,helikoptero,eu
1261,nortasun,eu
1262,hesi,eu
1263,esperimentu,eu
1264,erreakzio,eu
1265,zirujau,eu
1266,karitate,eu
1267,sare,eu
1268,umore,eu
1269,helburu,eu
1270,belar,eu
1271,etorbide,eu
1272,garbialdi,eu
1273,konketa,eu
1274,dortoka,eu
1275,zirku,eu
1276,erosotasun,eu
1277,semetxo,eu
1278,gertakari,eu
1279,karraska,eu
1280,adabaki,eu
1281,bandera,eu
1282,banpiro,eu
1283,arrantxo,eu
1284,rol,eu
1285,museo,eu
1286,kointzidentzia,eu
1287,koka,eu
1288,iltze,eu
1289,potentzial,eu
1290,mugimendu,eu
1291,adimen,eu
1292,tratamendu,eu
1293,afari,eu
1294,haserre,eu
1295,hezkuntza,eu
1296,solido,eu
1297,kabina,eu
1298,itsasertz,eu
1299,alferrikako,eu
1300,arku,eu
1301,kaiola,eu
1302,mehatxu,eu
1303,misto,eu
1304,garaipen,eu
1305,zirkulu,eu
1306,balio,eu
1307,boom,eu
1308,izerdi,eu
1309,ikuskatzaile,eu
1310,laranja,eu
1311,amesgaizto,eu
1312,oihan,eu
1313,adiskidetasun,eu
1314,misterio,eu
1315,indarkeria,eu
1316,estudio,eu
1317,adore,eu
1318,egunkari,eu
1319,erraiak,eu
1320,zabal,eu
1321,ispilu,eu
1322,emaztegai,eu
1323,lapur,eu
1324,gerriko,eu
1325,kanal,eu
1326,ahate,eu
1327,duke,eu
1328,patio,eu
1329,isiltasun,eu
1330,hitzaldi,eu
1331,ekipamendu,eu
1332,behi,eu
1333,eskaera,eu
1334,negatibo,eu
1335,objektu,eu
1336,taxi,eu
1337,ehizatu,eu
1338,ilara,eu
1339,diligentzia,eu
1340,zigarro,eu
1341,maitale,eu
1342,pilotu,eu
1343,armairu,eu
1344,kable,eu
1345,sorgin,eu
